Department,ProcessName,DowntimeHours,ProcessDate,Location
Legal,Server Maintenance,5.09,2023-09-01,Warehouse
Finance,Security Audit,5.47,2023-02-08,Remot Site A
Operations,,2.69,2023-07-21,Warehouse
IT,Inventory Check,,2023-01-31,Remote Site A
Finance,Data Backup,7.66,,Remote Site A
Finance,System Upgrade,1.79,2023-04-03,Remote Site B
Marketing,System Upgrade,2.4,2023-03-13,Warehouse
Operations,Server Maintenance,3.28,2023-08-14,Remote Site B
IT,System Upgrade,4.79,2023-07-11,Remote Site B
IT,System Upgrade,2,2023-06-15,Remote Site A
IT,Data Backup,5.47,2023-02-17,Remote Site B
HR,System Upgrade,3.47,2023-11-07,Warehouse
Marketing,System Upgrade,5.59,2023-08-05,Remote Site B
Marketing,Inventory Check,6.85,2023-09-10,Warehouse
IT,Inventory Check,7.71,2023-03-06,Warehouse
IT,Inventory Check,0.57,2023-07-23,Remote Site A
Marketing,System Upgrade,2.9,2023-02-27,Warehouse
HR,Security Audit,3.03,2023-10-06,Remote Site A
Marketing,Server Maintenance,6.07,2023-11-18,Remote Site B
Finance,Security Audit,3.53,2023-06-21,Remote Site A
HR,System Upgrade,1,2023-01-19,Remote Site B
Finance,Inventory Check,7.14,2023-10-01,Remote Site B
Operations,Security Audit,3.1,2023-10-25,HQ
HR,Data Backup,3.13,2023-10-31,Remote Site A
Finance,Data Backup,1.91,2023-04-06,HQ
Operations,Security Audit,3.87,2023-10-13,Warehouse
IT,System Upgrade,7.57,2023-09-01,Remote Site A
Finance,Security Audit,5.55,2023-09-10,Remote Site A
Marketing,Security Audit,3.05,2023-11-19,Remote Site A
IT,Inventory Check,0.6,2023-03-28,Remote Site A
Operations,Inventory Check,7.1,2023-11-13,Warehouse
Marketing,System Upgrade,1.76,2023-05-06,Remote Site A
IT,Data Backup,1.63,2023-08-16,Remote Site A
HR,Inventory Check,1.72,2023-01-18,HQ
Marketing,Data Backup,6.14,2023-03-14,HQ
Marketing,Inventory Check,4.21,2023-01-18,Warehouse
Finance,Data Backup,5.69,2023-11-20,Warehouse
IT,System Upgrade,6.55,2023-08-23,HQ
Operations,Security Audit,5.07,2023-03-07,Remote Site B
IT,Server Maintenance,3.76,2023-01-07,Warehouse
HR,Data Backup,4.88,2023-11-22,HQ
Operations,Security Audit,3.12,2023-12-20,Remote Site A
IT,System Upgrade,3.25,2023-09-20,Remote Site B
Finance,Security Audit,4.86,2023-07-12,Remote Site A
Marketing,Inventory Check,6.1,2023-07-06,HQ
Marketing,Inventory Check,3.72,2023-05-14,Remote Site B
Marketing,Inventory Check,7.48,2023-07-16,Remote Site A
HR,Data Backup,1.6,2023-02-17,Remote Site A
IT,Data Backup,4.41,2023-10-19,Remote Site B
Finance,Inventory Check,6.33,2023-02-10,Warehouse
